"constraint_type","preserved_evidence","analytic_status","implication"
"source identity","Filename and PDF title/subject identify DOW-UAP-D8, Mission Report, Djibouti, 2025","release identity preserved","Use D8 as the source identifier while retaining location caveats."
"public text availability","Only the final UAP page preserves useful text; preceding pages are almost entirely redacted as 1.4(a)","heavily redacted","Do not expect exact date, platform, unit, sensor, or event serial from the released PDF."
"event time","UAP text preserves time of day 1653Z but not full date","partial anchor","Useful for future matching only if combined with year/title and grid."
"location","Visible grid is 35SQT3423692957; local MGRS conversion gives approx 34.2514N, 29.5437E","grid-derived location conflicts with title","Treat as Eastern Mediterranean for geospatial analysis while preserving Djibouti title mismatch."
"object count and description","UAP description says 2X ROUND WHITE HOT UAPS","strong report claim","Two-object white-hot lane; separates D8 from PR29/D27 one-object pole/bar lane."
"movement","Gentext says dynamic south","report-derived movement","Direction is preserved, but no first/last track, range, or duration is public."
"speed","Approx 240NM/HOUR, about 276 mph","estimated report claim","Do not independently validate physical speed without source imagery and telemetry."
"date","Only 2025 appears in filename/title; full incident date is not public","not preserved","Timeline should retain 2025-00-00 until a better official date appears."
"sensor/video","No sensor name, raw video, frame stills, FOV, range, or platform telemetry is public; no embedded images/files in PDF","no public media evidence","Keep D8 document-only unless a hard official media pairing appears."
"PR29 label relationship","DVIDS PR29 names D8, but PR29/D27 content is UAE one-object pole/bar/reflection; D8 text is two white-hot UAPs near 35SQT3423692957","official-source discrepancy","Do not use D8 as the PR29 report content unless an official correction reconciles the mismatch."

