"bytes","file_count","unique_hash_count","identical","files"
"644525","2","1","True","DOD_111688970 (1).mp4 | DOD_111688970.mp4"
"1324277","2","1","True","dow-uap-d23-mission-report-united-arab-emirates-october-2023 (1).pdf | dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf"
"1598931","2","1","True","59_214434_sp_16_[7.18.1963].pdf | 59_214434_sp_16_7.18.1963.pdf"
"3005135","2","1","True","DOD_111689133 (1).mp4 | DOD_111689133.mp4"
"6625380","3","1","True","DOD_111689022-1920x1080-9000k (1).mp4 | DOD_111689022-1920x1080-9000k (2).mp4 | DOD_111689022-1920x1080-9000k.mp4"
"8543893","2","1","True","DOD_111689044 (1).mp4 | DOD_111689044.mp4"
"9089058","2","1","True","DOD_111689759 (1).mp4 | DOD_111689759.mp4"
"14908599","2","1","True","DOD_111689123 (1).mp4 | DOD_111689123.mp4"
"27493716","2","1","True","DOD_111688816 (1).mp4 | DOD_111688816.mp4"
"30707537","2","1","True","DOD_111689051 (1).mp4 | DOD_111689051.mp4"
"86775527","2","1","True","DOD_111689115 (1).mp4 | DOD_111689115.mp4"
"116761162","3","1","True","DOD_111689167 (1).mp4 | DOD_111689167 (2).mp4 | DOD_111689167.mp4"
"274712045","2","1","True","DOD_111689090 (1).mp4 | DOD_111689090.mp4"
